Ogs,name_strain,name_gene,direction,start,end
29865772,Yersinia pestis A1122,A1122_03805,reverse,836283,837620
29865772,Yersinia pestis Angola,YpAngola_A3933,reverse,4182443,4183780
29865772,Yersinia pestis Antiqua,YPA_4016,reverse,4524026,4525372
29865772,Yersinia pestis CO92,YPO0267,forward,267483,268820
29865772,Yersinia pestis D106004,YPD4_0231,forward,264532,265869
29865772,Yersinia pestis D182038,YPD8_0236,forward,266568,267905
29865772,Yersinia pestis KIM,y0526,forward,594314,595651
29865772,Yersinia pestis Nepal516,YPN_3401,reverse,3876094,3877440
29865772,Yersinia pestis Pestoides F,YPDSF_3704,reverse,4254564,4255910
29865772,Yersinia pestis Z176003,YPZ3_0229,forward,264538,265875
29865772,Yersinia pestis biovar Medievalis str. Harbin 35,YPC_0741,reverse,727419,728756
29865772,Yersinia pestis biovar Microtus str. 91001,YP_0421,forward,447214,448554
29865772,Yersinia pseudotuberculosis IP 31758,YpsIP31758_3818,reverse,4301312,4302649
29865772,Yersinia pseudotuberculosis IP 32953,YPTB0323,forward,389720,391057
29865772,Yersinia pseudotuberculosis PB1/+,YPTS_0347,forward,384020,385357
29865772,Yersinia pseudotuberculosis YPIII,YPK_3906,reverse,4305085,4306422
29866942,Yersinia pestis A1122,A1122_20060,forward,4315976,4316455
29866942,Yersinia pestis Angola,YpAngola_A1457,forward,1511009,1511434
29866942,Yersinia pestis Antiqua,YPA_0948,forward,1096617,1097096
29866942,Yersinia pestis CO92,YPO1234,forward,1393933,1394412
29866942,Yersinia pestis D106004,YPD4_1095,forward,1407445,1407870
29866942,Yersinia pestis D182038,YPD8_1052,reverse,1365940,1366365
29866942,Yersinia pestis KIM,y2953,reverse,3253329,3253808
29866942,Yersinia pestis Nepal516,YPN_2744,reverse,3089333,3089812
29866942,Yersinia pestis Pestoides F,YPDSF_2461,reverse,2798365,2798844
29866942,Yersinia pestis Z176003,YPZ3_1134,forward,1465346,1465771
29866942,Yersinia pestis biovar Medievalis str. Harbin 35,YPC_2970,reverse,2873681,2874160
29866942,Yersinia pestis biovar Microtus str. 91001,YP_0907,reverse,968987,969466
29866942,Yersinia pseudotuberculosis IP 31758,YpsIP31758_2749,reverse,3101238,3101717
29866942,Yersinia pseudotuberculosis IP 32953,YPTB1269,forward,1520213,1520692
29866942,Yersinia pseudotuberculosis PB1/+,YPTS_1359,forward,1519593,1520072
29866942,Yersinia pseudotuberculosis YPIII,YPK_2827,reverse,3113099,3113578
29867333,Yersinia pestis A1122,A1122_04760,reverse,1019425,1020384
29867333,Yersinia pestis Angola,YpAngola_A0084,forward,88051,89010
29867333,Yersinia pestis Antiqua,YPA_3465,reverse,3872554,3873513
29867333,Yersinia pestis CO92,YPO0076,forward,85648,86607
29867333,Yersinia pestis D106004,YPD4_0070,forward,85647,86606
29867333,Yersinia pestis D182038,YPD8_0072,forward,85709,86668
29867333,Yersinia pestis KIM,y0062,reverse,74773,75732
29867333,Yersinia pestis Nepal516,YPN_3773,reverse,4327190,4328149
29867333,Yersinia pestis Pestoides F,YPDSF_3828,reverse,4397508,4398467
29867333,Yersinia pestis Z176003,YPZ3_0069,forward,85647,86606
29867333,Yersinia pestis biovar Medievalis str. Harbin 35,YPC_0237,forward,219804,220763
29867333,Yersinia pestis biovar Microtus str. 91001,YP_0077,forward,85444,86403
29867333,Yersinia pseudotuberculosis IP 31758,YpsIP31758_0086,forward,92209,93168
29867333,Yersinia pseudotuberculosis IP 32953,YPTB0072,forward,83279,84238
29867333,Yersinia pseudotuberculosis PB1/+,YPTS_0074,forward,77828,78787
29867333,Yersinia pseudotuberculosis YPIII,YPK_4129,reverse,4562158,4563117
29865921,Yersinia pestis A1122,A1122_06205,forward,1354210,1354827
29865921,Yersinia pestis Angola,YpAngola_A3893,reverse,4131700,4132317
29865921,Yersinia pestis Antiqua,YPA_0101,forward,120379,120996
29865921,Yersinia pestis CO92,YPO3922,reverse,4404989,4405606
29865921,Yersinia pestis D106004,YPD4_3455,reverse,4391817,4392434
29865921,Yersinia pestis D182038,YPD8_3457,reverse,4377951,4378568
29865921,Yersinia pestis KIM,y0314,forward,340082,340699
29865921,Yersinia pestis Nepal516,YPN_0046,forward,68144,68761
29865921,Yersinia pestis Pestoides F,YPDSF_3533,reverse,4059741,4060358
29865921,Yersinia pestis Z176003,YPZ3_3462,reverse,4451380,4451997
29865921,Yersinia pestis biovar Medievalis str. Harbin 35,YPC_0294,forward,273583,274200
29865921,Yersinia pestis biovar Microtus str. 91001,YP_3127,forward,3485298,3485915
29865921,Yersinia pseudotuberculosis IP 31758,YpsIP31758_0131,forward,143943,144560
29865921,Yersinia pseudotuberculosis IP 32953,YPTB0114,forward,134963,135580
29865921,Yersinia pseudotuberculosis PB1/+,YPTS_0120,forward,129551,130168
29865921,Yersinia pseudotuberculosis YPIII,YPK_4085,reverse,4510692,4511309
29865972,Yersinia pestis A1122,A1122_06540,forward,1432540,1433931
29865972,Yersinia pestis Angola,YpAngola_A0524,forward,549280,550671
29865972,Yersinia pestis Antiqua,YPA_0164,forward,198170,199561
29865972,Yersinia pestis CO92,YPO3854,reverse,4325886,4327277
29865972,Yersinia pestis D106004,YPD4_3400,reverse,4312710,4314101
29865972,Yersinia pestis D182038,YPD8_3400,reverse,4298788,4300179
29865972,Yersinia pestis KIM,y0375,forward,418412,419803
29865972,Yersinia pestis Nepal516,YPN_0109,forward,146434,147825
29865972,Yersinia pestis Pestoides F,YPDSF_3472,reverse,3981917,3983308
29865972,Yersinia pestis Z176003,YPZ3_3408,reverse,4372816,4374207
29865972,Yersinia pestis biovar Medievalis str. Harbin 35,YPC_0368,forward,351873,353264
29865972,Yersinia pestis biovar Microtus str. 91001,YP_3191,forward,3562295,3563686
29865972,Yersinia pseudotuberculosis IP 31758,YpsIP31758_0194,forward,219639,221030
29865972,Yersinia pseudotuberculosis IP 32953,YPTB0180,forward,215316,216707
29865972,Yersinia pseudotuberculosis PB1/+,YPTS_0192,forward,209901,211292
29865972,Yersinia pseudotuberculosis YPIII,YPK_4021,reverse,4433907,4435298
29866059,Yersinia pestis A1122,A1122_07065,reverse,1547380,1547931
