Seq_id	Size	Description
1	4553770	gi|384137007|ref|NC_017168.1|
2	4504254	gi|162418099|ref|NC_010159.1|
3	4702289	gi|108777911|gb|CP000308.1|
4	4532063	gi|384412706|ref|NC_017265.1|
5	4595065	gi|45439865|ref|NC_005810.1|
6	4653728	gi|30407161|emb|AL590842.1|
7	4640720	gi|384120592|ref|NC_017154.1|
8	4626944	gi|384124469|ref|NC_017160.1|
9	4600755	gi|22123922|ref|NC_004088.1|
10	4534590	gi|108773814|gb|CP000305.1|
11	4517345	gi|145597324|ref|NC_009381.1|
12	4553586	gi|294352569|gb|CP001593.1|
--------------------------------------------------------------------------------
Degree	Count	Total	Seq 1	Seq 2	Seq 3	Seq 4	Seq 5	Seq 6	Seq 7	Seq 8	Seq 9	Seq 10	Seq 11	Seq 12
2	2	0.06%	0.21%	0.16%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	
3	2	0.02%	0.05%	0.05%	0.05%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.05%	0.05%	
6	1	0.21%	0.00%	0.00%	0.41%	0.42%	0.42%	0.00%	0.41%	0.00%	0.00%	0.42%	0.00%	0.42%	
7	2	0.06%	0.00%	0.06%	0.06%	0.11%	0.11%	0.00%	0.05%	0.05%	0.11%	0.11%	0.06%	0.05%	
8	4	1.58%	0.23%	2.38%	2.35%	0.00%	2.36%	2.34%	2.34%	2.35%	2.13%	0.00%	2.20%	0.23%	
9	2	0.07%	0.05%	0.05%	0.09%	0.05%	0.10%	0.10%	0.10%	0.10%	0.05%	0.05%	0.05%	0.10%	
10	10	1.82%	2.20%	0.19%	1.89%	2.21%	1.95%	2.15%	2.16%	2.16%	1.93%	2.21%	0.50%	2.20%	
11	21	3.30%	3.63%	2.07%	3.35%	3.62%	2.93%	3.54%	3.56%	3.57%	3.50%	3.51%	3.66%	2.69%	
12	156	88.32%	88.94%	90.20%	86.58%	89.20%	87.75%	87.01%	86.98%	87.32%	87.60%	89.17%	89.34%	89.90%	
22	1	0.09%	0.09%	0.00%	0.09%	0.09%	0.09%	0.09%	0.09%	0.09%	0.09%	0.09%	0.09%	0.09%	
23	1	0.13%	0.14%	0.07%	0.13%	0.14%	0.13%	0.13%	0.13%	0.13%	0.13%	0.14%	0.14%	0.14%	
24	1	0.35%	0.35%	0.35%	0.34%	0.35%	0.34%	0.34%	0.34%	0.34%	0.34%	0.35%	0.35%	0.35%	
41	1	0.15%	0.14%	0.09%	0.13%	0.18%	0.18%	0.13%	0.18%	0.18%	0.18%	0.18%	0.09%	0.18%	
79	1	0.74%	0.68%	0.80%	0.77%	0.79%	0.78%	0.66%	0.66%	0.67%	0.78%	0.79%	0.80%	0.68%	
All	205	96.90%	96.70%	96.45%	96.24%	97.16%	97.21%	96.70%	97.01%	96.96%	96.85%	97.02%	97.49%	97.08%	
--------------------------------------------------------------------------------
