Seq_id	Size	Description
1	4553770	gi|384137007|ref|NC_017168.1|
2	4504254	gi|162418099|ref|NC_010159.1|
3	4702289	gi|108777911|gb|CP000308.1|
4	4532063	gi|384412706|ref|NC_017265.1|
5	4595065	gi|45439865|ref|NC_005810.1|
6	4653728	gi|30407161|emb|AL590842.1|
7	4640720	gi|384120592|ref|NC_017154.1|
8	4626944	gi|384124469|ref|NC_017160.1|
9	4600755	gi|22123922|ref|NC_004088.1|
10	4534590	gi|108773814|gb|CP000305.1|
11	4517345	gi|145597324|ref|NC_009381.1|
12	4553586	gi|294352569|gb|CP001593.1|
--------------------------------------------------------------------------------
Block #1
Seq_id	Strand	Start	End	Length
1	-	3116182	3115521	662
1	+	3124615	3125276	662
1	+	2426416	2427077	662
1	-	3163317	3162656	662
1	-	2416068	2415407	662
1	+	3929947	3930505	559
1	-	475790	475129	662
1	+	3840334	3840995	662
1	+	3832613	3833274	662
1	+	3070290	3070804	515
1	+	3825216	3825877	662
1	+	196636	197171	536
1	-	2344568	2343907	662
1	+	3371242	3371903	662
1	-	2334360	2333699	662
1	+	3457216	3457877	662
1	+	3467401	3468061	661
1	-	89670	89157	514
1	-	1922984	1922424	561
1	+	583496	584157	662
1	+	593387	594048	662
1	-	2664117	2663456	662
1	-	1812168	1811507	662
1	-	1779445	1778784	662
1	+	1564607	1565268	662
1	-	4032547	4031886	662
1	-	4072369	4071708	662
1	-	738976	738315	662
1	+	1079338	1079999	662
1	-	4127635	4126974	662
1	-	1001746	1001085	662
1	-	4153595	4152650	946
1	+	4480977	4481638	662
1	+	4166815	4167476	662
1	+	1288762	1289423	662
1	-	4232780	4232119	662
1	-	4243881	4243220	662
1	+	884688	885349	662
1	-	4306088	4305427	662
1	-	4342816	4342155	662
1	-	1689176	1688515	662
1	-	2220248	2219587	662
1	-	1485527	1484866	662
1	+	3620749	3621410	662
1	-	2213427	2212766	662
1	+	516845	517505	661
1	+	2204600	2205261	662
1	-	1535567	1534906	662
1	-	525479	524818	662
1	+	2806172	2806833	662
1	-	319996	319335	662
1	-	2816430	2815752	679
1	+	2618038	2618699	662
1	+	2604600	2605261	662
1	-	2588301	2587640	662
1	+	2555961	2556622	662
1	-	1943086	1942425	662
1	+	2547006	2547667	662
1	+	2044519	2045180	662
1	-	2081372	2080711	662
1	-	2081949	2081422	528
1	-	2090774	2090113	662
1	+	2497571	2498232	662
1	+	347829	348488	660
1	-	2101055	2100394	662
1	+	347117	347778	662
2	+	2574740	2575401	662
2	-	356218	355557	662
2	-	2587814	2587153	662
2	-	4125858	4125197	662
2	-	3569129	3568468	662
2	-	1896247	1895586	662
2	-	377398	376737	662
2	-	1537779	1537118	662
2	-	4048132	4047471	662
2	+	4043301	4043962	662
2	+	688703	689364	662
2	-	2270589	2270075	515
2	-	3848946	3848285	662
2	-	1906345	1905684	662
2	-	3835692	3835031	662
2	-	2297662	2297001	662
2	-	2329434	2328773	662
2	+	4231332	4231993	662
2	-	2392381	2391720	662
2	-	58711	58050	662
2	+	4362111	4362772	662
2	+	106671	107332	662
2	-	2396580	2395919	662
2	+	2417385	2418046	662
2	+	32358	33019	662
2	-	1604263	1603602	662
2	+	1674097	1674758	662
2	+	1042308	1042969	662
2	+	265579	266240	662
2	+	1659356	1660017	662
2	+	1658645	1659306	662
2	-	300221	299560	662
2	-	1653202	1652541	662
2	-	2081890	2081229	662
2	-	2081179	2080518	662
2	+	2060144	2060805	662
2	-	2055023	2054362	662
2	-	2035584	2034922	663
2	+	344534	345855	1322
2	+	345985	346646	662
2	+	2017859	2018520	662
2	+	3711825	3712486	662
2	+	2434978	2435640	663
2	+	3704443	3705104	662
2	+	3696316	3696977	662
2	+	2447335	2447996	662
2	+	3660515	3661047	533
2	+	2501311	2501972	662
2	-	3606449	3605788	662
2	+	3597643	3598304	662
2	+	3572732	3573393	662
2	-	3108850	3108189	662
2	+	1052349	1053010	662
2	-	603584	602923	662
2	-	2648077	2647416	662
2	+	2656528	2657189	662
2	-	571902	571241	662
2	-	2676972	2676311	662
2	+	1053063	1053725	663
2	+	3390075	3390736	662
2	-	3354088	3353427	662
2	-	2697302	2696641	662
2	-	2703347	2702686	662
2	-	3347267	3346606	662
2	-	2721144	2720483	662
2	+	829300	829961	662
2	+	421252	421913	662
2	+	1352769	1353430	662
2	-	2738208	2737547	662
2	+	2741564	2742225	662
2	+	2785554	2786215	662
2	-	3322430	3321769	662
2	-	3312239	3311578	662
2	-	1339339	1338678	662
2	+	1073163	1073721	559
2	+	870829	871490	662
2	-	1452043	1451381	663
2	+	3251260	3251921	662
2	+	1428951	1429612	662
2	+	2876288	2876949	662
2	+	118188	118849	662
2	+	1268895	1269556	662
2	-	750241	749580	662
2	+	3241286	3241947	662
2	+	801438	802099	662
2	-	2947531	2946870	662
2	+	1417885	1418546	662
2	-	1493525	1493012	514
2	-	627496	626835	662
2	-	3088467	3087806	662
2	+	3079842	3080503	662
2	-	1138243	1137582	662
2	+	3020957	3021480	524
2	+	3190959	3191620	662
2	+	808842	809503	662
2	-	3203561	3202900	662
2	+	1179228	1179889	662
2	-	671512	670851	662
2	+	3224053	3224714	662
3	-	251115	250454	662
3	-	3984800	3984139	662
3	+	3976093	3976753	661
3	-	4100061	4099400	662
3	-	4054337	4053676	662
3	+	3933177	3933838	662
3	+	3837172	3837833	662
3	-	3854874	3854213	662
3	-	3926864	3926203	662
3	+	3248668	3249329	662
3	+	3137160	3137821	662
3	-	4269574	4268913	662
3	+	103061	103722	662
3	-	3172365	3171704	662
3	+	3268770	3269328	559
3	-	3179096	3178435	662
3	+	3092366	3093027	662
3	+	3435939	3436600	662
3	+	4318123	4318784	662
3	+	3093077	3093738	662
3	-	941014	940353	662
3	-	4188366	4187705	662
3	-	3727387	3726726	662
3	+	661535	662196	662
3	+	2157898	2158559	662
3	+	2586088	2586730	643
3	-	2441136	2440181	956
3	+	1860991	1861652	662
3	-	1901524	1900863	662
3	+	1909957	1910618	662
3	+	2534688	2535349	662
3	+	2524480	2525141	662
3	+	2451036	2451697	662
3	-	603865	603204	662
3	+	2655946	2656607	662
3	-	594108	593447	662
3	-	805579	804918	662
3	-	831549	830604	946
3	+	2165619	2166280	662
3	-	1321404	1320743	662
3	+	838272	838933	662
3	-	4598596	4597935	662
3	-	748333	747672	662
3	+	2980930	2981591	662
3	+	2980219	2980880	662
3	+	2973389	2974050	662
3	-	398572	397911	662
3	-	403395	402734	662
3	+	512162	512697	536
3	+	2752533	2753194	662
3	-	2762791	2762113	679
3	+	2642506	2643167	662
3	-	1953544	1953031	514
3	-	1086750	1086108	643
3	-	1620477	1619816	662
3	+	2859371	2860032	662
3	-	1662951	1662290	662
3	-	1234822	1234161	662
3	-	1588888	1588227	662
3	-	1022586	1021925	662
3	-	3565380	3564719	662
3	+	3607842	3608404	563
3	-	1223721	1223060	662
3	-	1125433	1124772	662
3	-	4588705	4588044	662
4	+	591366	592027	662
4	+	3606839	3607500	662
4	-	3857842	3857181	662
4	+	1146129	1146790	662
4	+	3185177	3185838	662
4	+	1952552	1953213	662
4	-	3505338	3504677	662
4	+	998724	999259	536
4	+	3468320	3468981	662
4	-	2641661	2641000	662
4	+	2648383	2649329	947
4	+	2396744	2397405	662
4	+	3023446	3024107	662
4	-	402888	402227	662
4	-	3127015	3126337	679
