Seq_id	Size	Description
1	4553770	gi|384137007|ref|NC_017168.1|
2	4504254	gi|162418099|ref|NC_010159.1|
3	4702289	gi|108777911|gb|CP000308.1|
4	4532063	gi|384412706|ref|NC_017265.1|
5	4595065	gi|45439865|ref|NC_005810.1|
6	4653728	gi|30407161|emb|AL590842.1|
7	4640720	gi|384120592|ref|NC_017154.1|
8	4626944	gi|384124469|ref|NC_017160.1|
9	4600755	gi|22123922|ref|NC_004088.1|
10	4534590	gi|108773814|gb|CP000305.1|
11	4517345	gi|145597324|ref|NC_009381.1|
12	4553586	gi|294352569|gb|CP001593.1|
--------------------------------------------------------------------------------
Block #1
Seq_id	Strand	Start	End	Length
1	+	1581420	1586498	5079
1	+	1538556	1543733	5178
1	+	1370084	1375201	5118
1	-	1093740	1088650	5091
1	-	4441539	4436422	5118
1	+	2107819	2112996	5178
2	-	3689551	3684463	5089
2	-	3621174	3616057	5118
2	+	1992092	1997209	5118
2	+	631519	636696	5178
2	+	488129	493306	5178
2	+	128314	133491	5178
2	+	12276	17393	5118
3	+	136253	141370	5118
3	+	14253	19370	5118
3	+	634241	639357	5117
3	-	3085602	3080425	5178
3	-	4037524	4032344	5181
3	-	3834183	3828997	5187
3	-	3947580	3942489	5092
4	-	3444545	3439368	5178
4	+	1118834	1123951	5118
4	+	498716	503893	5178
4	+	455852	461029	5178
4	-	4110616	4105526	5091
4	+	289457	294574	5118
4	+	12291	17408	5118
5	+	12057	17146	5090
5	+	245028	250205	5178
5	+	704161	709338	5178
5	-	3085593	3080476	5118
5	-	3441096	3435919	5178
5	-	3506285	3501168	5118
5	-	3670718	3665541	5178
6	+	12292	17381	5090
6	-	4389733	4384616	5118
6	-	4223296	4218119	5178
6	-	4180432	4175255	5178
6	-	3654148	3648971	5178
6	+	1217505	1222622	5118
7	+	12291	17380	5090
7	-	4376560	4371443	5118
7	-	4210091	4204974	5118
7	+	1208794	1213911	5118
7	-	4167283	4162106	5178
7	-	3646879	3641762	5118
8	+	1597646	1602763	5118
8	+	12292	17441	5150
8	-	4362695	4357518	5178
8	-	4196177	4191000	5178
8	-	4153312	4148196	5117
8	-	3630833	3625655	5179
9	-	4246531	4241441	5091
9	+	1024415	1029592	5178
9	-	3417303	3412186	5118
9	+	565283	570400	5118
9	+	522419	527596	5178
9	+	355956	361073	5118
9	+	12042	17159	5118
10	-	3286370	3281253	5118
10	+	953392	958569	5178
10	+	293267	298356	5090
10	+	250402	255579	5178
10	+	84018	89135	5118
10	+	12291	17408	5118
10	-	3906472	3901355	5118
11	-	1839065	1833948	5118
11	+	172828	178005	5178
11	-	4471104	4466014	5091
11	-	4284954	4279837	5118
11	-	4044484	4039367	5118
11	-	3881966	3876789	5178
11	-	3305889	3300772	5118
12	+	1266664	1271781	5118
12	+	12291	17408	5118
12	-	4270090	4264913	5178
12	-	4436123	4431006	5118
12	-	4227224	4222047	5178
12	-	3704575	3699458	5118
--------------------------------------------------------------------------------
Block #2
Seq_id	Strand	Start	End	Length
1	+	22568	30497	7930
1	-	3998966	3991067	7900
2	-	184400	176471	7930
2	+	3139677	3147576	7900
3	+	873969	881868	7900
3	+	335435	343364	7930
4	+	826536	834465	7930
4	-	2607928	2600029	7900
5	+	3936538	3944467	7930
5	+	1489010	1496909	7900
6	-	1082706	1074777	7930
6	+	1660105	1668004	7900
7	+	1671688	1679617	7930
7	+	920272	928170	7899
8	+	922381	930280	7900
8	+	1652183	1660113	7931
9	-	3710813	3702884	7930
9	-	2987527	2979631	7897
10	-	2823591	2815692	7900
10	-	3578690	3570760	7931
11	-	1704860	1696961	7900
11	+	604724	612653	7930
12	+	978126	986025	7900
12	+	1729615	1737544	7930
--------------------------------------------------------------------------------
Block #3
