Seq_id	Size	Description
1	4553770	gi|384137007|ref|NC_017168.1|
2	4504254	gi|162418099|ref|NC_010159.1|
3	4702289	gi|108777911|gb|CP000308.1|
4	4532063	gi|384412706|ref|NC_017265.1|
5	4595065	gi|45439865|ref|NC_005810.1|
6	4653728	gi|30407161|emb|AL590842.1|
7	4640720	gi|384120592|ref|NC_017154.1|
8	4626944	gi|384124469|ref|NC_017160.1|
9	4600755	gi|22123922|ref|NC_004088.1|
10	4534590	gi|108773814|gb|CP000305.1|
11	4517345	gi|145597324|ref|NC_009381.1|
12	4553586	gi|294352569|gb|CP001593.1|
--------------------------------------------------------------------------------
Degree	Count	Total	Seq 1	Seq 2	Seq 3	Seq 4	Seq 5	Seq 6	Seq 7	Seq 8	Seq 9	Seq 10	Seq 11	Seq 12
2	2	0.06%	0.20%	0.15%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	
3	2	0.02%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.02%	0.06%	0.03%	0.00%	
6	3	0.21%	0.00%	0.03%	0.38%	0.43%	0.42%	0.00%	0.38%	0.00%	0.03%	0.43%	0.03%	0.39%	
7	5	0.10%	0.02%	0.04%	0.10%	0.10%	0.17%	0.08%	0.13%	0.13%	0.15%	0.10%	0.13%	0.07%	
8	7	1.55%	0.23%	2.37%	2.27%	0.00%	2.32%	2.29%	2.30%	2.31%	2.09%	0.00%	2.13%	0.23%	
9	1	0.04%	0.05%	0.05%	0.05%	0.00%	0.05%	0.05%	0.05%	0.05%	0.00%	0.00%	0.05%	0.05%	
10	14	1.82%	2.20%	0.16%	1.90%	2.21%	1.99%	2.16%	2.17%	2.17%	1.93%	2.21%	0.54%	2.18%	
11	36	3.58%	3.91%	2.23%	3.58%	3.93%	3.11%	3.85%	3.86%	3.88%	3.80%	3.79%	3.96%	3.00%	
12	244	87.76%	88.30%	89.29%	85.53%	88.71%	87.30%	86.41%	86.65%	86.90%	87.24%	88.60%	88.79%	89.54%	
13	1	0.03%	0.03%	0.05%	0.03%	0.03%	0.03%	0.03%	0.03%	0.03%	0.03%	0.03%	0.03%	0.03%	
15	1	0.03%	0.05%	0.08%	0.05%	0.00%	0.00%	0.05%	0.05%	0.05%	0.00%	0.00%	0.00%	0.05%	
20	1	0.07%	0.09%	0.00%	0.08%	0.08%	0.08%	0.08%	0.08%	0.08%	0.08%	0.08%	0.00%	0.08%	
22	2	0.15%	0.16%	0.04%	0.16%	0.16%	0.16%	0.16%	0.16%	0.16%	0.16%	0.16%	0.14%	0.16%	
23	3	0.24%	0.25%	0.15%	0.24%	0.25%	0.22%	0.24%	0.25%	0.25%	0.25%	0.25%	0.24%	0.25%	
24	3	0.49%	0.49%	0.50%	0.48%	0.50%	0.49%	0.48%	0.48%	0.49%	0.49%	0.50%	0.50%	0.49%	
30	1	0.10%	0.12%	0.00%	0.12%	0.12%	0.12%	0.12%	0.12%	0.12%	0.12%	0.12%	0.00%	0.12%	
41	1	0.15%	0.14%	0.09%	0.13%	0.18%	0.18%	0.13%	0.18%	0.18%	0.18%	0.18%	0.09%	0.18%	
79	1	0.74%	0.68%	0.80%	0.77%	0.79%	0.78%	0.66%	0.66%	0.67%	0.78%	0.79%	0.80%	0.68%	
252	1	0.50%	0.46%	0.84%	0.47%	0.46%	0.52%	0.47%	0.48%	0.45%	0.43%	0.56%	0.43%	0.45%	
440	1	1.55%	1.88%	1.80%	2.85%	1.20%	1.27%	1.84%	1.26%	1.39%	1.48%	1.24%	1.07%	1.25%	
All	330	99.18%	99.26%	98.67%	99.18%	99.21%	99.21%	99.30%	99.29%	99.29%	99.27%	99.10%	99.10%	99.21%	
--------------------------------------------------------------------------------
