Seq_id	Size	Description
1	4553770	gi|384137007|ref|NC_017168.1|
2	4504254	gi|162418099|ref|NC_010159.1|
3	4702289	gi|108777911|gb|CP000308.1|
4	4532063	gi|384412706|ref|NC_017265.1|
5	4595065	gi|45439865|ref|NC_005810.1|
6	4653728	gi|30407161|emb|AL590842.1|
7	4640720	gi|384120592|ref|NC_017154.1|
8	4626944	gi|384124469|ref|NC_017160.1|
9	4600755	gi|22123922|ref|NC_004088.1|
10	4534590	gi|108773814|gb|CP000305.1|
11	4517345	gi|145597324|ref|NC_009381.1|
12	4553586	gi|294352569|gb|CP001593.1|
--------------------------------------------------------------------------------
Degree	Count	Total	Seq 1	Seq 2	Seq 3	Seq 4	Seq 5	Seq 6	Seq 7	Seq 8	Seq 9	Seq 10	Seq 11	Seq 12
2	4	0.06%	0.19%	0.15%	0.00%	0.00%	0.02%	0.19%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	
6	3	0.20%	0.00%	0.00%	0.39%	0.40%	0.40%	0.00%	0.39%	0.00%	0.00%	0.40%	0.00%	0.40%	
7	6	0.10%	0.00%	0.06%	0.12%	0.12%	0.17%	0.07%	0.12%	0.12%	0.18%	0.12%	0.12%	0.05%	
8	7	1.54%	0.22%	2.36%	2.26%	0.00%	2.31%	2.28%	2.29%	2.30%	2.09%	0.00%	2.13%	0.22%	
9	4	0.06%	0.08%	0.06%	0.08%	0.02%	0.07%	0.08%	0.08%	0.08%	0.02%	0.01%	0.06%	0.08%	
10	16	1.82%	2.18%	0.17%	1.89%	2.21%	2.00%	2.16%	2.16%	2.16%	1.95%	2.21%	0.54%	2.18%	
11	36	3.46%	3.76%	2.16%	3.44%	3.82%	3.06%	3.71%	3.72%	3.73%	3.69%	3.68%	3.84%	2.86%	
12	312	87.04%	87.55%	88.22%	84.80%	87.98%	86.76%	85.66%	85.95%	86.17%	86.61%	87.91%	88.18%	88.82%	
13	1	0.03%	0.03%	0.05%	0.03%	0.03%	0.03%	0.03%	0.03%	0.03%	0.03%	0.03%	0.03%	0.03%	
14	1	0.02%	0.03%	0.03%	0.03%	0.00%	0.00%	0.03%	0.03%	0.03%	0.00%	0.00%	0.00%	0.03%	
16	1	0.03%	0.05%	0.08%	0.05%	0.00%	0.00%	0.05%	0.05%	0.05%	0.00%	0.00%	0.03%	0.05%	
19	1	0.02%	0.02%	0.00%	0.03%	0.03%	0.03%	0.02%	0.03%	0.03%	0.03%	0.02%	0.03%	0.03%	
20	1	0.07%	0.09%	0.00%	0.08%	0.08%	0.08%	0.08%	0.08%	0.08%	0.08%	0.08%	0.00%	0.08%	
21	1	0.02%	0.01%	0.02%	0.01%	0.02%	0.02%	0.01%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	
22	4	0.19%	0.22%	0.09%	0.19%	0.20%	0.21%	0.21%	0.21%	0.21%	0.20%	0.20%	0.18%	0.20%	
23	5	0.29%	0.30%	0.21%	0.30%	0.30%	0.27%	0.30%	0.30%	0.30%	0.30%	0.29%	0.30%	0.29%	
24	3	0.47%	0.47%	0.48%	0.46%	0.47%	0.47%	0.46%	0.46%	0.46%	0.47%	0.47%	0.48%	0.47%	
30	1	0.10%	0.12%	0.00%	0.12%	0.12%	0.12%	0.12%	0.12%	0.12%	0.12%	0.12%	0.00%	0.12%	
38	1	0.05%	0.03%	0.03%	0.03%	0.11%	0.04%	0.03%	0.03%	0.03%	0.03%	0.11%	0.11%	0.03%	
41	1	0.15%	0.14%	0.09%	0.13%	0.18%	0.18%	0.13%	0.18%	0.18%	0.18%	0.18%	0.09%	0.18%	
46	1	0.05%	0.05%	0.04%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.04%	0.05%	
79	1	0.74%	0.68%	0.80%	0.77%	0.79%	0.78%	0.66%	0.66%	0.67%	0.78%	0.79%	0.80%	0.68%	
91	1	0.09%	0.09%	0.10%	0.09%	0.10%	0.08%	0.08%	0.10%	0.10%	0.10%	0.10%	0.09%	0.09%	
95	1	0.11%	0.11%	0.11%	0.12%	0.11%	0.10%	0.11%	0.11%	0.11%	0.11%	0.11%	0.10%	0.11%	
255	1	0.51%	0.48%	0.86%	0.47%	0.46%	0.52%	0.47%	0.48%	0.45%	0.43%	0.56%	0.43%	0.47%	
440	1	1.55%	1.88%	1.80%	2.85%	1.20%	1.27%	1.84%	1.26%	1.39%	1.48%	1.24%	1.07%	1.25%	
765	1	0.92%	0.95%	1.46%	0.92%	0.92%	0.67%	0.92%	0.88%	0.91%	0.77%	0.93%	0.79%	0.91%	
All	416	99.68%	99.70%	99.41%	99.69%	99.74%	99.70%	99.73%	99.77%	99.76%	99.70%	99.63%	99.62%	99.70%	
--------------------------------------------------------------------------------
